country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","14-04-2026 18:00:00",29.695300,77.002700,NO2,6,7,6
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","14-04-2026 18:00:00",29.695300,77.002700,OZONE,13,56,53
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","14-04-2026 18:00:00",29.966942,76.875879,SO2,9,30,19
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","14-04-2026 18:00:00",29.966942,76.875879,CO,6,16,8
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","14-04-2026 18:00:00",28.360699,76.936090,OZONE,10,49,37
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","14-04-2026 18:00:00",28.1485564,77.3320667,CO,28,28,28
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","14-04-2026 18:00:00",30.7057778,76.8531805555555,PM2.5,29,86,55
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","14-04-2026 18:00:00",30.7057778,76.8531805555555,NO2,22,26,24
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","14-04-2026 18:00:00",30.7057778,76.8531805555555,SO2,13,14,14
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","14-04-2026 18:00:00",29.432304,76.972765,PM10,112,195,151
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","14-04-2026 18:00:00",12.733409,77.298051,OZONE,4,65,53
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","14-04-2026 18:00:00",16.802639,75.722694,CO,12,36,26
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","14-04-2026 18:00:00",16.7602,77.1428,NH3,1,1,1
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","14-04-2026 18:00:00",12.889250,74.853000,PM2.5,NA,NA,NA
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","14-04-2026 18:00:00",26.200388,78.147714,PM2.5,3,220,64
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","14-04-2026 18:00:00",26.200388,78.147714,NO2,26,43,33
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","14-04-2026 18:00:00",26.200388,78.147714,NH3,3,5,4
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","14-04-2026 18:00:00",22.7289,75.8076,PM10,57,163,108
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","14-04-2026 18:00:00",22.7289,75.8076,NO2,5,52,16
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","14-04-2026 18:00:00",22.7289,75.8076,SO2,24,28,27
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","14-04-2026 18:00:00",22.4310,75.5213,PM10,90,299,166
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","14-04-2026 18:00:00",22.4310,75.5213,SO2,4,97,27
India,"Madhya Pradesh",Indore,"Maguda Nagar, Indore - IMC","14-04-2026 18:00:00",22.7524,75.8872,PM2.5,38,282,124
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","14-04-2026 18:00:00",22.6780,75.8559,PM10,17,151,73
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","14-04-2026 18:00:00",20.9402359,77.7895248,CO,14,50,20
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","14-04-2026 18:00:00",20.939198,77.765701,PM2.5,50,105,78
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","14-04-2026 18:00:00",20.939198,77.765701,PM10,90,131,115
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","14-04-2026 18:00:00",20.939198,77.765701,NO2,5,62,23
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","14-04-2026 18:00:00",19.875620,75.387310,NH3,NA,NA,NA
